,article_id,prod_name,product_type_name,product_group_name,graphical_appearance_name,colour_group_name,garment_group_name,detail_desc,material,seasonality,occasion
18,772324004,Wippet blazer,Blazer,Garment Upper body,Solid,Dark Green,Dressed,"Jacket in woven fabric with a sheen. Shawl collar, concealed pockets in the side seams, 3/4-length sleeves with gathers at the cuffs, and a tie belt at the waist. No fasteners. Lined.",woven fabric with a sheen,all year,unknown
19,709902001,Shanta Shorts,Shorts,Garment Lower body,Lace,Dark Blue,Trousers,"Shorts in stretch twill with an adjustable elasticated waist, zip fly and press-stud, front and back pockets and a lace trim at the hems.",stretch twill,unknown,casual
20,664715001,Cable tights,Underwear Tights,Socks & Tights,Solid,Off White,Socks and Tights,"Tights in a soft, cable-knit cotton blend with an elasticated waist.",cotton blend,unknown,unknown
21,591800001,Lime bikini hipster BIG,Swimwear bottom,Swimwear,Solid,Black,Swimwear,Fully lined bikini bottoms with a mid waist and laser-cut scalloped edges.,unknown,summer,beach/pool
22,681891001,ED Roman blouse,Top,Garment Upper body,Solid,Pink,Blouses,"Blouse in airy chiffon crêpe with embroidery, a V-neck with buttons at the front and a stand-up collar with a small frill. Frill at the front that continues over the shoulders, long sleeves with a wide flounce at the cuffs, and a wide flounce at the hem. Unlined.",chiffon crêpe,spring/fall,casual or semi-formal
23,536952001,Hamza,Top,Garment Upper body,Solid,Black,Jersey Fancy,Fitted jersey top with a heart-shaped neckline and long sleeves.,jersey,all year,casual
24,559069004,MY hood,Hoodie,Garment Upper body,Melange,Blue,Knitwear,"Fine-knit hooded jumper in a soft viscose blend with a motif on the front, long sleeves with gathered seams, and a drawstring at the hem.",viscose blend,all year,casual
25,606083005,Leona long dress,Dress,Garment Full body,All over pattern,Black,Jersey Fancy,Long dress in patterned viscose jersey with smocking at the top and narrow shoulder straps.,viscose jersey,all year,unknown
26,891890005,TORONTO regular crew,Sweater,Garment Upper body,Front print,Light Grey,Jersey Fancy,"Long-sleeved top in sweatshirt fabric with a soft brushed inside. Ribbing around the neckline, cuffs and hem.",sweatshirt fabric,fall/winter,casual
27,344956011,Flirty Romi waterbottle,Other accessories,Accessories,All over pattern,White,Accessories,Plastic water bottle with a screw top and practical wrist strap that also holds the top in place. Capacity 550 ml.,plastic,all year,unknown
28,754018002,Relaxed tap basic 89,Trousers,Garment Lower body,Denim,Black,Trousers Denim,"5-pocket jeans in washed, stretch denim in a relaxed fit with an adjustable, elasticated waist, zip fly and button and tapered legs.",denim,all year,casual
29,853006001,Lily NEW SL (W),Pyjama set,Nightwear,All over pattern,Black,"Under-, Nightwear",Pyjamas with a strappy top and pair of shorts in patterned satin. Top with adjustable spaghetti shoulder straps. Shorts with covered elastication and a frill trim at the waist.,satin,all year,sleepwear
30,858037001,Ohoj shorts,Shorts,Garment Lower body,Solid,Dark Blue,Trousers,"High-waisted shorts in woven fabric with decorative buttons at the front. Zip fly with a hook-and-eye fastener, and fake welt pockets at the back.",woven fabric,summer,casual
31,659453002,Palme Parka,Coat,Garment Upper body,Solid,Dark Green,Outdoor,"Short, lightly padded parka in washed cotton twill with a collar with a detachable faux fur trim and a zip and wind flap with concealed press-studs down the front. Chest pockets and front pockets with a flap and concealed press-stud, a concealed drawstring at the waist and hem, and a tab with a hook and loop fastener at the cuffs. Lined.",cotton twill,fall/winter,casual
32,892427001,Flirty Moonlight bracelet pk,Bracelet,Accessories,Solid,Light Pink,Accessories,"Bracelets in different designs of thin metal chains. Adjustable length, approx. 19-26 cm.",unknown,unknown,unknown
33,564988007,BRENDA bomber,Jacket,Garment Upper body,Solid,Dark Blue,Outdoor,"Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, flap side pockets with a press-stud and a gathered seam at the back and down the sleeves. Ribbing at the cuffs and hem. Lined.",woven fabric,fall/winter,casual
34,621915002,Jupiter Sandal,Sandals,Shoes,Solid,Yellowish Brown,Shoes,"Low, imitation leather sandals with an elasticated heel strap. Rubber insoles and soles.",imitation leather,all year,casual
35,501436007,Alex,Sweater,Garment Upper body,Melange,Dark Grey,Knitwear,Fine-knit V-neck jumper in a soft viscose blend in a straight style with long sleeves and slits in the sides. Slightly longer at the back.,viscose blend,all year,casual
36,547863001,Gift,Dress,Garment Full body,All over pattern,Black,Dresses Ladies,"Dress in a patterned crêpe weave with a low stand-up collar, buttons down the front, some of which are concealed, a gathered yoke at the back, long sleeves with buttoned cuffs and a rounded hem. Slightly longer at the back. Unlined.",crêpe weave,all year,unknown
37,661755001,CC MIA trousers BG,Trousers,Garment Lower body,Melange,Dark Red,Jersey Basic,Joggers in soft sweatshirt fabric with an elasticated waist and legs with stripes down the sides and ribbed hems. Soft brushed inside. The cotton content of the joggers is partly recycled.,sweatshirt fabric (partly recycled cotton),all year,casual
38,538458002,Ina,Sweater,Garment Upper body,Melange,Dark Grey,Knitwear,"Jumper in fine-knit merino wool with a V-neck, dropped shoulders and ribbing around the neckline, cuffs and hem.",merino wool,fall/winter,casual
39,648339001,DIV Mel maxi dress,Dress,Garment Full body,All over pattern,Blue,Blouses,"Maxi dress in woven fabric with a V-neck and narrow shoulder straps. Elasticated seam at the waist and a straight-cut, softly draping skirt with high slits in the sides.",woven fabric,summer,unknown
40,617303001,Able WCT pants,Trousers,Garment Lower body,Solid,Black,Jersey Fancy,"Joggers with an elasticated drawstring waist, side pockets and contrasting colour stripes down legs.",unknown,unknown,unknown
41,854092002,PQ ROLEX LINEN TEE,T-shirt,Garment Upper body,Solid,Light Beige,Knitwear,T-shirt in slub linen jersey with a low-cut neckline.,linen,spring/fall,casual
42,923168002,Felicia cord,Shirt,Garment Upper body,Solid,Beige,Blouses,"Straight-cut shirt in heavy cotton corduroy with a collar, buttons down the front, a yoke at the back, a rounded hem and long sleeves with buttoned cuffs.",cotton corduroy,all year,casual
43,797892002,ED Milk slaks,Trousers,Garment Lower body,Solid,Light Beige,Trousers,"Cigarette trousers in stretch twill with a regular waist that is elasticated at the back. Fake fly, diagonal side pockets, fake welt back pockets and ankle-length legs with creases.",stretch twill,all year,casual
44,411974005,OL BLIXTEN PQ sneaker,Sneakers,Shoes,Solid,Light Grey,Shoes,"Trainers with lacing at the front, mesh linings, cotton twill insoles and rubber soles.",cotton twill,all year,casual
45,625779004,Cherry playsuit,Trousers,Garment Lower body,All over pattern,Dark Orange,Jersey Fancy,"Sleeveless playsuit in viscose jersey with a V-neck front and back and narrow shoulder straps. Elasticated seam at the waist with decorative twisted ties with tassels, and short, wide legs.",viscose jersey,unknown,unknown
46,715862004,BARRY BURN OUT HENLEY,Sweater,Garment Upper body,Treatment,Dark Green,Jersey Fancy,Henley shirt in slub jersey with a button placket and long sleeves with a tab and button.,slub jersey,unknown,unknown
47,852552001,CE - Manon hairpin V6,Hair clip,Accessories,Glittering/Metallic,Gold,Special Offers,CONSCIOUS EXCLUSIVE. Coral-shaped hair pin made partly from recycled metal decorated with faceted glass rhinestones. Length approx. 15 cm.,metal,unknown,party
48,889575001,Johan rollerneck,Sweater,Garment Upper body,Melange,Black,Knitwear,Polo-neck jumper in a cotton knit with long sleeves and ribbing at the cuffs and hem.,cotton,all year,casual
49,696896001,Una Tee,T-shirt,Garment Upper body,Placement print,Dark Grey,Unknown,"Wide-fitting sports top in fast-drying functional fabric with a print motif on the front, short cap sleeves and a rounded hem.",functional fabric,all year,sportswear
50,808662002,Noor PQ sandal,Sandals,Shoes,All over pattern,Yellow,Shoes,"Slides with wide, crossover straps at the front. The top strap is adjustable and has a round covered metal buckle. Leather insoles and rubber soles.",leather,summer,casual
51,456163021,Woody (1),Hoodie,Garment Upper body,Solid,Blue,Jersey Basic,"Wide top in sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem.",sweatshirt fabric,all year,casual
52,866657001,Ellen 3p bikini,Underwear bottom,Underwear,Solid,Black,"Under-, Nightwear","Bikini briefs in soft, organic cotton jersey with a mid waist, lined gusset and medium coverage at the back.",organic cotton jersey,all year,unknown
53,535388004,Cotton eye shirt,Shirt,Garment Upper body,Solid,Dark Grey,Dresses Ladies,"Wide shirt in a soft weave with a collar, button placket, dropped shoulders, long sleeves and buttoned cuffs. Yoke with a pleat at the back, and a rounded hem with slits in the sides. Longer at the back.",soft weave,unknown,unknown
54,688771001,Flirty Heart Bride aliceband,Hair/alice band,Accessories,Solid,Gold,Accessories,Satin-covered Alice band with glittery appliqués on the top.,satin,all year,unknown
55,641891001,Joffrey bomber,Jacket,Garment Upper body,Solid,Black,Outdoor,"Padded bomber jacket in woven fabric with a slight sheen. Small, ribbed stand-up collar, zip down the front, side pockets and ribbing at the cuffs and hem. Lined.",woven fabric,unknown,unknown
56,599521001,Studio 55 Top,Top,Garment Upper body,Application/3D,Black,Dresses Ladies,Backless jersey top with small round studs and ties at the neck and hem.,jersey,unknown,unknown
57,669710003,SPARKLING TANK,Vest top,Garment Upper body,Glittering/Metallic,Black,Blouses,"Pleated top in woven fabric containing glittery threads in a narrow cut at the top with short, narrow shoulder straps, and a faceted button at the back. Lined.",woven fabric with glittery threads,unknown,party
58,630851005,BEANIE KNIT MALTE LATE,Hat/beanie,Accessories,Stripe,Dark Orange,Accessories,Hat in a soft knit with a pompom on the top and earflaps. Fleece lining.,knit,fall/winter,casual
59,840607003,Nicole,Blouse,Garment Upper body,All over pattern,Light Beige,Blouses,Fitted top in a linen and viscose weave with a sweetheart neckline and short puff sleeves with elastication at the shoulders and hems.,linen and viscose,spring/fall,casual
60,711823006,Shorts HW Pixie,Shorts,Garment Lower body,Denim,Light Yellow,Trousers Denim,"High-waisted shorts in washed, stretch denim with a zip fly and button, fake front pockets, real back pockets and short slits in the sides.",denim,spring/fall,casual
61,898378003,Belmont cargo,Trousers,Garment Lower body,Solid,Dark Blue,Trousers,"Ankle-length trousers woven in a viscose blend with covered elastication and a concealed drawstring at the waist and a fake fly. Diagonal side pockets, welt back pockets and legs with creases and easy-access flap pockets.",viscose blend,unknown,unknown
62,574109015,Rachel Basic L/S,Sweater,Garment Upper body,Solid,Red,Knitwear,Fitted top in a fine rib knit with long sleeves and a ribbed neckline.,rib knit,fall/winter,casual
63,648878001,AK Hennessy zip,Hoodie,Garment Upper body,Solid,Beige,Special Offers,"Short jacket in scuba fabric with a jersey-lined drawstring hood, zip down the front, front pockets and long raglan sleeves with wide ribbing and a thumbhole at the cuffs.",scuba fabric,unknown,unknown
64,851094005,Mist Conscious Rib Tank,Vest top,Garment Upper body,Solid,Red,Jersey Fancy,Sports vest top in ribbed fast-drying functional fabric made from recycled polyester with short slits in the sides. Longer at the back.,recycled polyester,all year,sports
65,652031001,Peggy pearl earring pack,Earring,Accessories,Solid,Off White,Accessories,Metal earrings with plastic beads in various sizes.,metal,all year,unknown
66,567803001,Utah cardigan,Cardigan,Garment Upper body,All over pattern,Dark Blue,Knitwear,"Patterned, fine-knit cardigan in soft cotton with a round neck, buttons down the front and ribbing at the neckline, cuffs and hem.",cotton,all year,casual
67,680404001,Push Scarf,Scarf,Accessories,All over pattern,Dark Pink,Accessories,Scarf in an airy patterned weave.,unknown,unknown,unknown
68,695322004,LANCE STRIPED SHIRT,Shirt,Garment Upper body,Stripe,Black,Shirts,"Shirt in cotton twill with a button-down collar with concealed buttons, a classic front and yoke at the back. Long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette.",cotton twill,all year,casual or formal
69,820541001,Cortardo body ol,Top,Garment Upper body,Lace,Black,Jersey Fancy,"Fitted body in sturdy, ribbed jersey with a sheen. V-neck, decorative, crossover lace straps at the front and press-studs at the crotch.",ribbed jersey,unknown,unknown
70,669552002,Nutella Hipster Peoni Low,Underwear bottom,Underwear,Solid,Black,"Under-, Nightwear","Hipster briefs in lace with a low waist, lined gusset, wide sides and cutaway coverage at the back.",lace,all year,daily wear
71,842000003,Shelly Polo Neck,Sweater,Garment Upper body,Solid,White,Knitwear,"Fitted jumper in a soft, rib-knit viscose blend with a polo neck, long sleeves and short slits in the sides.",viscose blend,fall/winter,casual
72,746310005,BRUCE CREWNECK,Sweater,Garment Upper body,Colour blocking,Dark Blue,Jersey Fancy,"Long-sleeved top in soft sweatshirt fabric with ribbing around the neckline, cuffs and hem. Soft brushed inside.",sweatshirt fabric,fall/winter,casual
73,796823001,Hilly cheeky super high,Underwear bottom,Underwear,Solid,Black,"Under-, Nightwear","Shaping briefs in microfibre with a high waist, lined gusset and laser-cut edges. The briefs have a light sculpting effect on the waist, bum and hips.",microfibre,all year,unknown
74,738777002,PE SAN REMO TOP,Top,Garment Upper body,Solid,Light Orange,Unknown,"Top in soft, fine-knit cotton with a V-neck front and back and a narrow cut at the top.",cotton,all year,casual
75,657168002,Misha l/s top Halloween,T-shirt,Garment Upper body,Front print,Grey,Jersey Fancy,Long-sleeved top in cotton jersey with a glow-in-the-dark print on the front and a gently rounded hem. Slightly longer at the back.,cotton jersey,unknown,casual
76,749827001,MILAD fleece,Jacket,Garment Upper body,All over pattern,Grey,Outdoor,"Jacket in soft fleece designed to be worn as a thermal mid layer with a stand-up collar, zip down the front with a chin guard, and long raglan sleeves. Unlined. The jacket is made partly from recycled polyester.",soft fleece made partly from recycled polyester,all year,unknown
77,745306001,EDC Agge dress,Dress,Garment Full body,All over pattern,White,Special Offers,"Calf-length dress in an airy Tencel™ lyocell and viscose weave with a V-shaped opening and concealed buttons at the front. Gathered yoke, long balloon sleeves with narrow cuffs, a seam at the hips and wide, gathered skirt with an asymmetric hem. Unlined.",Tencel™ lyocell and viscose,unknown,unknown
78,759218001,Kalle tee,T-shirt,Garment Upper body,Colour blocking,Yellow,Jersey Fancy,Block-patterned T-shirt in printed cotton jersey.,cotton,all year,casual
79,910494002,ELLA DRESS,Dress,Garment Full body,Denim,Black,Dresses Ladies,"Short, fitted dress in stretch denim with a square neckline, covered elastication over the shoulders and short puff sleeves. Unlined.",denim,all year,casual
80,878045003,Tobias Henley tee,T-shirt,Garment Upper body,Solid,Dark Blue,Jersey Fancy,"Short-sleeved Henley shirt in soft slub cotton jersey with a narrow trim around the neckline, button placket and small fabric appliqué at the hem.",cotton,all year,casual
81,538993001,Bones utility trousers HW,Trousers,Garment Lower body,Solid,Greenish Khaki,Trousers,"High-waisted trousers in woven fabric with a detachable tie belt, pleats and the top and a zip in the side. Zip fly with hook and eye fasteners, side pockets, fake back pockets and wide tapered legs.",woven fabric,unknown,unknown
82,294076007,Skinny Shaping,Trousers,Garment Lower body,Solid,Black,Trousers,"Shaping. Jeans in washed denim with technical stretch that holds in and shapes the hips, thighs and seat while keeping the jeans in shape. Fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort.",denim,all year,casual
83,687173003,Margarita Push Melbourne,Bra,Underwear,Solid,Light Pink,"Under-, Nightwear","Lace push-up bra with moulded, padded cups for a larger bust and fuller cleavage. Narrow, adjustable shoulder straps and a hook-and-eye fastening at the back.",lace,all year,unknown
84,872538003,River cargo jogger pullon TP,Trousers,Garment Lower body,Solid,Greenish Khaki,Trousers,"Cargo joggers in washed cotton canvas. Casual style in a relaxed fit with covered elastication and a drawstring at the waist and a fake fly. Diagonal side pockets, fake back pockets with a flap, and bellows pockets with a flap on the legs. Tapered legs with shaping seams at the knees.",washed cotton canvas,unknown,casual
85,563459001,Ziggy velvet body v.5,Underwear body,Underwear,Solid,Black,"Under-, Nightwear","Velour body with a wide flounce at the top and detachable, adjustable shoulder straps. Lined crotch with press-studs.",velour,unknown,unknown
86,637996004,Esther set,Hat/beanie,Accessories,Solid,White,Accessories,"Set with a hat and mittens in a soft cable knit containing some wool. Hat with a faux fur pompom on top, earflaps and ties under the chin. Mittens with foldover ribbing. Both hat and mittens have a fleece lining.",cable knit with wool,fall/winter,casual
87,895010002,Func. Hector HT SG,Sneakers,Shoes,Solid,Light Pink,Shoes,"Waterproof hi-tops in imitation leather with a padded edge and tongue, elasticated lacing at the front and a hook and loop tab at the top. Loop at the front and back and chunky, patterned soles. Height of soles 2.3 cm.",imitation leather,unknown,casual
88,889574006,Evelina Dress L/S,Dress,Garment Full body,Dot,Yellow,Jersey Fancy,Long-sleeved dress in soft cotton jersey with overlocked frill trims at the front and a concealed press-stud on one shoulder (except in sizes 1½-4Y). Gathered seam at the top and a flared skirt.,cotton jersey,all year,casual
89,890319001,SAGA SPORT s.9 bikini,Swimwear set,Swimwear,All over pattern,Other Yellow,Swimwear,Fully lined bikini. Top with wide shoulder straps and a racer back with a cut-out section and wide elastic hem. Bottoms with a wide elastic waistband.,unknown,summer,unknown
90,700010001,Sigrid sport swimsuit,Swimsuit,Swimwear,Front print,Light Turquoise,Swimwear,"Fully lined swimsuit with a text print on the front, racer back and cut-out section at the back.",unknown,summer,swimming
91,873884005,Lee PU mini,Skirt,Garment Lower body,Treatment,Black,Skirts,Short skirt in imitation leather with a high waist and a concealed zip at the back. Lined. The polyurethane content of the skirt is water-based and free from DMF.,imitation leather,unknown,unknown
92,713378001,Karl,Sweater,Garment Upper body,Check,Beige,Knitwear,"Oversized jumper in a jacquard knit containing some wool with ribbing around the neckline, cuffs and hem.",wool,all year,casual
93,754267016,Zebra- TVP- TM,Sweater,Garment Upper body,Front print,Red,Jersey Fancy,"Top in lightweight sweatshirt fabric with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem.",sweatshirt fabric,fall/winter,casual
94,829302002,Pingu spring,Sweater,Garment Upper body,Solid,Black,Jersey Fancy,Top in a relaxed fit with long dolman sleeves.,unknown,unknown,unknown
95,705543001,Pria PLUSSIZE,T-shirt,Garment Upper body,Front print,Light Green,Jersey Fancy,"T-shirt in soft cotton jersey with a print motif, round neckline, short sleeves and a rounded hem.",cotton jersey,all year,casual
96,728703008,PQ Icona beanie,Hat/beanie,Accessories,Solid,Light Beige,Accessories,Hat knitted in soft cashmere with a roll edge.,cashmere,fall/winter,casual
97,758353001,PE CATHARINE TROUSER,Trousers,Garment Lower body,Solid,Black,Unknown,"Trousers in a sturdy Tencel™ lyocell and silk weave with a sheen. High waist, concealed hook-and-eye fastening, zip fly, diagonal side pockets, a welt back pocket and gently tapered legs with creases.",Tencel™ lyocell and silk,all year,unknown
98,584187001,Thierry Bomber,Cardigan,Garment Upper body,Treatment,Black,Jersey Fancy,"Long-sleeved cardigan in soft sweatshirt fabric with a decorative detail on the chest, flap pocket on one sleeve, side pockets and ribbing around the neckline, cuffs and hem.",sweatshirt fabric,all year,casual
99,595696030,Margarita Pull- On Shorts,Shorts,Garment Lower body,All over pattern,White,Shorts,"Short shorts in a viscose weave with an elasticated drawstring waist, side pockets and gently rounded hems with short slits in the sides.",viscose,unknown,unknown
100,857453005,JONES SLIM 5PKT,Shorts,Garment Lower body,Solid,Dark Blue,Shorts,"5-pocket shorts in cotton twill with a regular waist, slightly lower crotch and zip fly and button.",cotton twill,unknown,casual
101,384851019,Sage Shorts,Shorts,Garment Lower body,Solid,Dark Pink,Jersey Basic,"Short shorts in sweatshirt fabric with an elasticated drawstring waist, back pocket and contrasting colour trims.",sweatshirt fabric,all year,casual
102,901679001,Togepi tunic,Blouse,Garment Upper body,Solid,Light Blue,Blouses,"Tunic in crisp cotton seersucker with an opening and button at the back of the neck, dropped shoulders and short, voluminous puff sleeves. Seam with a drawstring under the bust and at the back. Lined with a detachable, V-neck inner top in a viscose weave. The inner top has narrow, adjustable shoulder straps.",cotton,spring/fall,casual
103,654870002,KAYLA shorts,Shorts,Garment Lower body,Placement print,Other Pink,Jersey Fancy,"Shorts in lightweight sweatshirt fabric with an elasticated drawstring waist, side pockets, print on one leg and sewn-in turn-ups at the hems.",lightweight sweatshirt fabric,unknown,unknown
104,554541014,SKINNY SS 89,Trousers,Garment Lower body,Denim,Light Blue,Trousers Denim,"5-pocket slim-fit jeans in washed, superstretch, flexible denim for maximum mobility with an adjustable, elasticated waist, zip fly and narrow hems.",denim,all year,casual
105,593030001,Mya Lace 1p Tights,Underwear Tights,Socks & Tights,Lace,Light Beige,Socks and Tights,Lace tights with an elasticated waist.,lace,unknown,unknown
106,488012012,TP Axel 5-p anklesock BB,Socks,Socks & Tights,Stripe,Green,Socks and Tights,Jacquard-knit socks in a soft cotton blend with elastication around the top.,cotton blend,all year,casual
107,938303001,HW spidy aliceband,Hair/alice band,Accessories,Solid,Black,Accessories,Narrow Alice band in metal with a large glittery cobweb on top resembling a tiara.,metal,unknown,unknown
108,456032014,Relax Shorts (1),Shorts,Garment Lower body,All over pattern,Black,Jersey Fancy,"Knee-length shorts in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and raw-edge hems.",sweatshirt fabric,unknown,casual
109,732294003,HM+ Spice 2pk top,Bra,Underwear,Solid,Pink,"Under-, Nightwear",Bra tops in stretch jersey made from a cotton blend with elastic hems. Jersey lining.,cotton blend,all year,unknown
110,757589002,LAVENDER half zip,Sweater,Garment Upper body,Melange,Dark Grey,Knitwear,Jumper in a cotton knit containing some cashmere with a stand-up collar and zip at the top.,cotton knit with cashmere,fall/winter,casual
111,807770002,Angelina skirt,Skirt,Garment Lower body,All over pattern,White,Trousers,"Calf-length skirt in a pleated crêpe weave with a high waist, concealed zip and hook-and-eye fastening at one side, and a raw-edge hem.",crêpe weave,unknown,unknown
112,481771001,EDIT T-shirt,T-shirt,Garment Upper body,Solid,Other Pink,Jersey Basic,"Short-sleeved top in jersey made from an organic cotton blend in a wide, slightly shorter style.",organic cotton blend,all year,unknown
113,706017001,Pluie rainboot SG,Boots,Shoes,All over pattern,Light Blue,Shoes,"Print-patterned wellingtons with a loop at the back, fabric linings and insoles and chunky rubber soles.",unknown,unknown,unknown
114,316553027,Washington dress,Dress,Garment Full body,Solid,Greenish Khaki,Dresses Ladies,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt.",jersey,all year,casual
115,665212005,Jens,Sweater,Garment Upper body,Melange,Yellow,Knitwear,"Jumper in a soft cable knit containing some wool with long raglan sleeves and ribbing around the neckline, cuffs and hem.",wool,fall/winter,casual
116,714285001,Yann Sweater,Sweater,Garment Upper body,Other structure,Red,Knitwear,"Jumper in soft, textured-knit cotton with a cable-knit front, long sleeves and ribbing around the neckline, cuffs and hem.",cotton,spring/fall,casual
117,865133002,Nina l/s top,T-shirt,Garment Upper body,Solid,Dark Blue,Jersey Fancy,Long-sleeved top in soft slub cotton jersey with a broderie anglaise flounce over the shoulder seams.,cotton,all year,casual
118,552743021,PEBBLE knitted creweck,Sweater,Garment Upper body,Melange,Dark Green,Knitwear,"Long-sleeved jumper in soft, fine-knit cashmere with ribbing around the neckline, cuffs and hem.",cashmere,fall/winter,casual
119,716550001,Nolita contrast blouse,Blouse,Garment Upper body,Solid,White,Blouses,"Blouse in a crêpe weave with a V-neck and collar with sewn-on ties. Long sleeves, cuffs with a covered button, and a gently rounded hem. Slightly longer at the back.",crêpe weave,all year,casual
120,669271003,ROOTS crew,Sweater,Garment Upper body,Solid,Dark Red,Jersey Basic,"Top in lightweight sweatshirt fabric with long raglan sleeves with frills at the front, and ribbing around the neckline, cuffs and hem.",sweatshirt fabric,fall/winter,casual
121,576146001,Byron Lounge M-Gown,Robe,Underwear,Melange,Light Grey,"Under-, Nightwear","Dressing gown in soft sweatshirt fabric with a hood, tie belt and side pockets.",sweatshirt fabric,all year,casual
122,654266015,Stephanie LS,Top,Garment Upper body,Melange,Dark Orange,Jersey Fancy,Long-sleeved top in stretch jersey with a wide neckline and gathers at the sides for best fit over the tummy.,stretch jersey,unknown,casual
123,892906001,Betty puff,T-shirt,Garment Upper body,Solid,Black,Jersey Basic,Shorter top in soft cotton jersey with a round neckline and short puff sleeves.,cotton,all year,casual
